unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1696039200,2023-09-30 02:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
1696035600,2023-09-30 01:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,65.40222368,20.568999347360002
1696032000,2023-09-30 00:00:00,SAND/USD,0.31489,0.31489,0.31420,0.31420,282.40994708,88.73320537253599
1696028400,2023-09-29 23:00:00,SAND/USD,0.31420,0.31420,0.31357,0.31357,130.80444736,41.01635055867521
1696024800,2023-09-29 22:00:00,SAND/USD,0.31521,0.31521,0.31521,0.31521,0.00000000,0.0
1696021200,2023-09-29 21:00:00,SAND/USD,0.31521,0.31521,0.31521,0.31521,562.64066016,177.3499624890336
1696017600,2023-09-29 20:00:00,SAND/USD,0.31521,0.31521,0.31521,0.31521,1430.69227060,450.968510615826
1696014000,2023-09-29 19:00:00,SAND/USD,0.31190,0.31190,0.31190,0.31190,0.00000000,0.0
1696010400,2023-09-29 18:00:00,SAND/USD,0.31019,0.31190,0.31019,0.31190,806.28555394,251.480464273886
1696006800,2023-09-29 17:00:00,SAND/USD,0.31270,0.31270,0.31270,0.31270,0.00000000,0.0
1696003200,2023-09-29 16:00:00,SAND/USD,0.31270,0.31270,0.31270,0.31270,59.60684202,18.639059499654
1695999600,2023-09-29 15:00:00,SAND/USD,0.31323,0.31323,0.31323,0.31323,90.53145926,28.357168984009803
1695996000,2023-09-29 14:00:00,SAND/USD,0.30891,0.30891,0.30891,0.30891,0.00000000,0.0
1695992400,2023-09-29 13:00:00,SAND/USD,0.30950,0.30950,0.30891,0.30891,80.98686921,25.0176537676611
1695988800,2023-09-29 12:00:00,SAND/USD,0.30810,0.30810,0.30810,0.30810,0.00000000,0.0
1695985200,2023-09-29 11:00:00,SAND/USD,0.30810,0.30810,0.30810,0.30810,976.68398137,300.916334660097
1695981600,2023-09-29 10:00:00,SAND/USD,0.30920,0.30920,0.30920,0.30920,0.00000000,0.0
1695978000,2023-09-29 09:00:00,SAND/USD,0.30859,0.30920,0.30859,0.30920,2000.00000000,618.4
1695974400,2023-09-29 08:00:00,SAND/USD,0.30750,0.33000,0.30750,0.33000,18069.39560983,5962.900551243901
1695970800,2023-09-29 07:00:00,SAND/USD,0.30810,0.30990,0.30810,0.30990,7936.54689991,2459.5358842821092
1695967200,2023-09-29 06:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695963600,2023-09-29 05:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695960000,2023-09-29 04:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695956400,2023-09-29 03:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695952800,2023-09-29 02:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695949200,2023-09-29 01:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695945600,2023-09-29 00:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695942000,2023-09-28 23:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695938400,2023-09-28 22:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695934800,2023-09-28 21:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695931200,2023-09-28 20:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695927600,2023-09-28 19:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,0.00000000,0.0
1695924000,2023-09-28 18:00:00,SAND/USD,0.30301,0.30301,0.30301,0.30301,2084.85311798,631.7313432791199
1695920400,2023-09-28 17:00:00,SAND/USD,0.30531,0.30532,0.30531,0.30532,130.80444736,39.9372138679552
1695916800,2023-09-28 16:00:00,SAND/USD,0.30641,0.30641,0.30631,0.30631,3000.00000000,918.9300000000001
1695913200,2023-09-28 15:00:00,SAND/USD,0.30436,0.30436,0.30400,0.30400,243.13064980,73.9117175392
1695909600,2023-09-28 14:00:00,SAND/USD,0.30121,0.30121,0.30121,0.30121,0.00000000,0.0
1695906000,2023-09-28 13:00:00,SAND/USD,0.30163,0.30163,0.30121,0.30121,261.60889472,78.7992151786112
1695902400,2023-09-28 12:00:00,SAND/USD,0.30140,0.30230,0.30081,0.30091,1881.72185353,566.2289229457124
1695898800,2023-09-28 11:00:00,SAND/USD,0.30170,0.30191,0.30070,0.30073,1647.01420372,495.3065814847156
1695895200,2023-09-28 10:00:00,SAND/USD,0.30010,0.30010,0.30010,0.30010,0.00000000,0.0
1695891600,2023-09-28 09:00:00,SAND/USD,0.30030,0.30030,0.30010,0.30010,360.94991499,108.321069488499
1695888000,2023-09-28 08:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
1695884400,2023-09-28 07:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
1695880800,2023-09-28 06:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
1695877200,2023-09-28 05:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
1695873600,2023-09-28 04:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
1695870000,2023-09-28 03:00:00,SAND/USD,0.29920,0.29920,0.29920,0.29920,0.00000000,0.0
